pathway	level1_pathway_name
Carbon fixation in photosynthetic organisms	Metabolism
Carbon fixation pathways in prokaryotes	Metabolism
Cardiac muscle contraction	Organismal Systems
Carotenoid biosynthesis	Metabolism
Cationic antimicrobial peptide (CAMP) resistance	Human Diseases
Cell adhesion molecules	Environmental Information Processing
Cell cycle	Cellular Processes
Cell cycle - Caulobacter	Cellular Processes
Cell cycle - yeast	Cellular Processes
Cellular senescence	Cellular Processes
Central carbon metabolism in cancer	Human Diseases
cGMP-PKG signaling pathway	Environmental Information Processing
Chagas disease	Human Diseases
Chaperones and folding catalysts	Brite Hierarchies
Chemical carcinogenesis - DNA adducts	Human Diseases
Chemical carcinogenesis - reactive oxygen species	Human Diseases
Chemical carcinogenesis - receptor activation	Human Diseases
Chemokine signaling pathway	Organismal Systems
Chloroalkane and chloroalkene degradation	Metabolism
Chlorocyclohexane and chlorobenzene degradation	Metabolism
Cholesterol metabolism	Organismal Systems
Choline metabolism in cancer	Human Diseases
Cholinergic synapse	Organismal Systems
Chromosome and associated proteins	Brite Hierarchies
Chronic myeloid leukemia	Human Diseases
Cilium and associated proteins	Brite Hierarchies
Circadian entrainment	Organismal Systems
Circadian rhythm - plant	Organismal Systems
Citrate cycle (TCA cycle)	Metabolism
Clavulanic acid biosynthesis	Metabolism
Cocaine addiction	Human Diseases
Colorectal cancer	Human Diseases
Cushing syndrome	Human Diseases
"Cutin, suberine and wax biosynthesis"	Metabolism
Cyanoamino acid metabolism	Metabolism
Cysteine and methionine metabolism	Metabolism
Cytochrome P450	Brite Hierarchies
Cytoskeleton proteins	Brite Hierarchies
Cytosolic DNA-sensing pathway	Organismal Systems
D-Amino acid metabolism	Metabolism
Degradation of flavonoids	Metabolism
Diabetic cardiomyopathy	Human Diseases
Dilated cardiomyopathy	Human Diseases
Dioxin degradation	Metabolism
DNA repair and recombination proteins	Brite Hierarchies
DNA replication	Genetic Information Processing
DNA replication proteins	Brite Hierarchies
Dopaminergic synapse	Organismal Systems
Dorso-ventral axis formation	Organismal Systems
Drug metabolism - cytochrome P450	Metabolism
Drug metabolism - other enzymes	Metabolism
ECM-receptor interaction	Environmental Information Processing
EGFR tyrosine kinase inhibitor resistance	Human Diseases
Endocrine and other factor-regulated calcium reabsorption	Organismal Systems
Endocrine resistance	Human Diseases
Endocytosis	Cellular Processes
Endometrial cancer	Human Diseases
Epithelial cell signaling in Helicobacter pylori infection	Human Diseases
Epstein-Barr virus infection	Human Diseases
ErbB signaling pathway	Environmental Information Processing
Estrogen signaling pathway	Organismal Systems
Ether lipid metabolism	Metabolism
Ethylbenzene degradation	Metabolism
Exopolysaccharide biosynthesis	Metabolism
Exosome	Brite Hierarchies
Fanconi anemia pathway	Genetic Information Processing
Fat digestion and absorption	Organismal Systems
Fatty acid biosynthesis	Metabolism
Fatty acid degradation	Metabolism
Fatty acid elongation	Metabolism
Fc epsilon RI signaling pathway	Organismal Systems
Fc gamma R-mediated phagocytosis	Organismal Systems
Ferroptosis	Cellular Processes
Flagellar assembly	Cellular Processes
Flavonoid biosynthesis	Metabolism
Fluid shear stress and atherosclerosis	Human Diseases
Fluorobenzoate degradation	Metabolism
Focal adhesion	Cellular Processes
Folate biosynthesis	Metabolism
FoxO signaling pathway	Environmental Information Processing
Fructose and mannose metabolism	Metabolism
Furfural degradation	Metabolism
G protein-coupled receptors	Brite Hierarchies
GABAergic synapse	Organismal Systems
Galactose metabolism	Metabolism
Gap junction	Cellular Processes
Gastric acid secretion	Organismal Systems
Gastric cancer	Human Diseases
Glioma	Human Diseases
Glucagon signaling pathway	Organismal Systems
Glutamatergic synapse	Organismal Systems
Glutathione metabolism	Metabolism
Glycerolipid metabolism	Metabolism
Glycerophospholipid metabolism	Metabolism
"Glycine, serine and threonine metabolism"	Metabolism
Glycolysis / Gluconeogenesis	Metabolism
Glycosaminoglycan degradation	Metabolism
Glycosphingolipid biosynthesis - ganglio series	Metabolism
Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism
Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism
Glycosyltransferases	Brite Hierarchies
Glyoxylate and dicarboxylate metabolism	Metabolism
GnRH signaling pathway	Organismal Systems
"Growth hormone synthesis, secretion and action"	Organismal Systems
GTP-binding proteins	Brite Hierarchies
Hepatitis B	Human Diseases
Hepatitis C	Human Diseases
Hepatocellular carcinoma	Human Diseases
Herpes simplex virus 1 infection	Human Diseases
HIF-1 signaling pathway	Environmental Information Processing
Hippo signaling pathway	Environmental Information Processing
Hippo signaling pathway - fly	Environmental Information Processing
Histidine metabolism	Metabolism
Homologous recombination	Genetic Information Processing
Human cytomegalovirus infection	Human Diseases
Human immunodeficiency virus 1 infection	Human Diseases
Human papillomavirus infection	Human Diseases
Human T-cell leukemia virus 1 infection	Human Diseases
Huntington disease	Human Diseases
Hypertrophic cardiomyopathy	Human Diseases
IL-17 signaling pathway	Organismal Systems
Indole alkaloid biosynthesis	Metabolism
Inflammatory mediator regulation of TRP channels	Organismal Systems
Influenza A	Human Diseases
Inositol phosphate metabolism	Metabolism
Insect hormone biosynthesis	Metabolism
Insulin resistance	Human Diseases
Insulin secretion	Organismal Systems
Insulin signaling pathway	Organismal Systems
Ion channels	Brite Hierarchies
Isoflavonoid biosynthesis	Metabolism
Isoquinoline alkaloid biosynthesis	Metabolism
JAK-STAT signaling pathway	Environmental Information Processing
Kaposi sarcoma-associated herpesvirus infection	Human Diseases
Legionellosis	Human Diseases
Leishmaniasis	Human Diseases
Leukocyte transendothelial migration	Organismal Systems
Limonene degradation	Metabolism
Linoleic acid metabolism	Metabolism
Lipid and atherosclerosis	Human Diseases
Lipid biosynthesis proteins	Brite Hierarchies
Lipoarabinomannan (LAM) biosynthesis	Metabolism
Lipoic acid metabolism	Metabolism
Lipopolysaccharide biosynthesis	Metabolism
Lipopolysaccharide biosynthesis proteins	Brite Hierarchies
Long-term depression	Organismal Systems
Long-term potentiation	Organismal Systems
Longevity regulating pathway	Organismal Systems
Longevity regulating pathway - multiple species	Organismal Systems
Longevity regulating pathway - worm	Organismal Systems
Lysine biosynthesis	Metabolism
Lysine degradation	Metabolism
Lysosome	Cellular Processes
Malaria	Human Diseases
MAPK signaling pathway	Environmental Information Processing
MAPK signaling pathway - fly	Environmental Information Processing
MAPK signaling pathway - plant	Environmental Information Processing
MAPK signaling pathway - yeast	Environmental Information Processing
Measles	Human Diseases
Meiosis - yeast	Cellular Processes
Melanogenesis	Organismal Systems
Membrane trafficking	Brite Hierarchies
Messenger RNA biogenesis	Brite Hierarchies
Metabolism of xenobiotics by cytochrome P450	Metabolism
Methane metabolism	Metabolism
MicroRNAs in cancer	Human Diseases
Mineral absorption	Organismal Systems
Mismatch repair	Genetic Information Processing
Mitochondrial biogenesis	Brite Hierarchies
Mitophagy - yeast	Cellular Processes
Monobactam biosynthesis	Metabolism
Morphine addiction	Human Diseases
Motor proteins	Cellular Processes
mRNA surveillance pathway	Genetic Information Processing
mTOR signaling pathway	Environmental Information Processing
N-Glycan biosynthesis	Metabolism
Naphthalene degradation	Metabolism
Natural killer cell mediated cytotoxicity	Organismal Systems
Necroptosis	Cellular Processes
"Neomycin, kanamycin and gentamicin biosynthesis"	Metabolism
Neuroactive ligand-receptor interaction	Environmental Information Processing
Neurotrophin signaling pathway	Organismal Systems
Neutrophil extracellular trap formation	Organismal Systems
Nicotinate and nicotinamide metabolism	Metabolism
Nicotine addiction	Human Diseases
Nitrogen metabolism	Metabolism
Nitrotoluene degradation	Metabolism
NOD-like receptor signaling pathway	Organismal Systems
Non-alcoholic fatty liver disease	Human Diseases
Non-homologous end-joining	Genetic Information Processing
Non-small cell lung cancer	Human Diseases
Nonribosomal peptide structures	Metabolism
Notch signaling pathway	Environmental Information Processing
Novobiocin biosynthesis	Metabolism
Nucleocytoplasmic transport	Genetic Information Processing
Nucleotide excision repair	Genetic Information Processing
O-Antigen nucleotide sugar biosynthesis	Metabolism
Olfactory transduction	Organismal Systems
One carbon pool by folate	Metabolism
Oocyte meiosis	Cellular Processes
Other glycan degradation	Metabolism
Other types of O-glycan biosynthesis	Metabolism
Ovarian steroidogenesis	Organismal Systems
Oxidative phosphorylation	Metabolism
Oxytocin signaling pathway	Organismal Systems
p53 signaling pathway	Cellular Processes
Pancreatic cancer	Human Diseases
Pancreatic secretion	Organismal Systems
Pantothenate and CoA biosynthesis	Metabolism
"Parathyroid hormone synthesis, secretion and action"	Organismal Systems
Parkinson disease	Human Diseases
Pathogenic Escherichia coli infection	Human Diseases
Pathways in cancer	Human Diseases
Pathways of neurodegeneration - multiple diseases	Human Diseases
Penicillin and cephalosporin biosynthesis	Metabolism
Pentose and glucuronate interconversions	Metabolism
Pentose phosphate pathway	Metabolism
Peptidases and inhibitors	Brite Hierarchies
Peptidoglycan biosynthesis	Metabolism
Peptidoglycan biosynthesis and degradation proteins	Brite Hierarchies
Peroxisome	Cellular Processes
Pertussis	Human Diseases
Phagosome	Cellular Processes
Phenazine biosynthesis	Metabolism
Phenylalanine metabolism	Metabolism
"Phenylalanine, tyrosine and tryptophan biosynthesis"	Metabolism
Phenylpropanoid biosynthesis	Metabolism
Phosphatidylinositol signaling system	Environmental Information Processing
Phospholipase D signaling pathway	Environmental Information Processing
Phosphonate and phosphinate metabolism	Metabolism
Phosphotransferase system (PTS)	Environmental Information Processing
Photosynthesis	Metabolism
Photosynthesis - antenna proteins	Metabolism
Photosynthesis proteins	Brite Hierarchies
Phototransduction	Organismal Systems
Phototransduction - fly	Organismal Systems
PI3K-Akt signaling pathway	Environmental Information Processing
"Pinene, camphor and geraniol degradation"	Metabolism
Plant-pathogen interaction	Organismal Systems
Plant hormone signal transduction	Environmental Information Processing
Platelet activation	Organismal Systems
Platinum drug resistance	Human Diseases
Polycomb repressive complex	Genetic Information Processing
Polycyclic aromatic hydrocarbon degradation	Metabolism
Polyketide biosynthesis proteins	Brite Hierarchies
Polyketide sugar unit biosynthesis	Metabolism
Porphyrin metabolism	Metabolism
PPAR signaling pathway	Organismal Systems
Prenyltransferases	Brite Hierarchies
Primary bile acid biosynthesis	Metabolism
Prion disease	Human Diseases
Prodigiosin biosynthesis	Metabolism
Prokaryotic defense system	Brite Hierarchies
Prolactin signaling pathway	Organismal Systems
Propanoate metabolism	Metabolism
Prostate cancer	Human Diseases
Proteasome	Genetic Information Processing
Protein digestion and absorption	Organismal Systems
Protein export	Genetic Information Processing
Protein kinases	Brite Hierarchies
Protein phosphatases and associated proteins	Brite Hierarchies
Protein processing in endoplasmic reticulum	Genetic Information Processing
Proteoglycans in cancer	Human Diseases
Proximal tubule bicarbonate reclamation	Organismal Systems
Purine metabolism	Metabolism
Pyrimidine metabolism	Metabolism
Pyruvate metabolism	Metabolism
Quorum sensing	Cellular Processes
Rap1 signaling pathway	Environmental Information Processing
Ras signaling pathway	Environmental Information Processing
Regulation of actin cytoskeleton	Cellular Processes
Relaxin signaling pathway	Organismal Systems
Renal cell carcinoma	Human Diseases
Renin-angiotensin system	Organismal Systems
Renin secretion	Organismal Systems
Retinol metabolism	Metabolism
Retrograde endocannabinoid signaling	Organismal Systems
Rheumatoid arthritis	Human Diseases
Riboflavin metabolism	Metabolism
Ribosome	Genetic Information Processing
Ribosome biogenesis	Brite Hierarchies
Ribosome biogenesis in eukaryotes	Genetic Information Processing
RNA degradation	Genetic Information Processing
RNA polymerase	Genetic Information Processing
Salivary secretion	Organismal Systems
Salmonella infection	Human Diseases
Secondary bile acid biosynthesis	Metabolism
Secretion system	Brite Hierarchies
Selenocompound metabolism	Metabolism
Serotonergic synapse	Organismal Systems
Sesquiterpenoid and triterpenoid biosynthesis	Metabolism
Shigellosis	Human Diseases
Signaling pathways regulating pluripotency of stem cells	Cellular Processes
Small cell lung cancer	Human Diseases
Sphingolipid metabolism	Metabolism
Sphingolipid signaling pathway	Environmental Information Processing
Spinocerebellar ataxia	Human Diseases
Spliceosome	Genetic Information Processing
Staphylococcus aureus infection	Human Diseases
Starch and sucrose metabolism	Metabolism
Steroid biosynthesis	Metabolism
Steroid degradation	Metabolism
Steroid hormone biosynthesis	Metabolism
"Stilbenoid, diarylheptanoid and gingerol biosynthesis"	Metabolism
Streptomycin biosynthesis	Metabolism
Styrene degradation	Metabolism
Sulfur metabolism	Metabolism
Sulfur relay system	Genetic Information Processing
T cell receptor signaling pathway	Organismal Systems
Taurine and hypotaurine metabolism	Metabolism
Teichoic acid biosynthesis	Metabolism
Terpenoid backbone biosynthesis	Metabolism
Tetracycline biosynthesis	Metabolism
TGF-beta signaling pathway	Environmental Information Processing
Thermogenesis	Organismal Systems
Thiamine metabolism	Metabolism
Thyroid cancer	Human Diseases
Thyroid hormone signaling pathway	Organismal Systems
Thyroid hormone synthesis	Organismal Systems
Tight junction	Cellular Processes
Toll and Imd signaling pathway	Organismal Systems
Toluene degradation	Metabolism
Toxoplasmosis	Human Diseases
Transcription factors	Brite Hierarchies
Transcription machinery	Brite Hierarchies
Transfer RNA biogenesis	Brite Hierarchies
Translation factors	Brite Hierarchies
Transporters	Brite Hierarchies
"Tropane, piperidine and pyridine alkaloid biosynthesis"	Metabolism
Tryptophan metabolism	Metabolism
Tuberculosis	Human Diseases
Two-component system	Environmental Information Processing
Type I polyketide structures	Metabolism
Type II diabetes mellitus	Human Diseases
Tyrosine metabolism	Metabolism
Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism
Ubiquitin system	Brite Hierarchies
"Valine, leucine and isoleucine biosynthesis"	Metabolism
"Valine, leucine and isoleucine degradation"	Metabolism
Vancomycin resistance	Human Diseases
Various types of N-glycan biosynthesis	Metabolism
Vascular smooth muscle contraction	Organismal Systems
Vasopressin-regulated water reabsorption	Organismal Systems
Vibrio cholerae infection	Human Diseases
Viral carcinogenesis	Human Diseases
Viral life cycle - HIV-1	Genetic Information Processing
Viral myocarditis	Human Diseases
Vitamin B6 metabolism	Metabolism
Vitamin digestion and absorption	Organismal Systems
Wnt signaling pathway	Environmental Information Processing
Xylene degradation	Metabolism
Yersinia infection	Human Diseases
