Pathway	CON_mean_Pathway	CT1_mean_Pathway	CT2_mean_Pathway
Methane metabolism	380767.1273	152855.4316	316339.6393
MicroRNAs in cancer	7597.909333	4838.101897	1348.635
Mineral absorption	7809.065333	4861.377414	2018.492143
Mismatch repair	636292.9473	275402.6183	533121.4504
Mitochondrial biogenesis	217073.2767	97187.45862	174137.2232
Mitophagy - yeast	2.822	0.063275862	1.285714286
Monobactam biosynthesis	274424.1553	120773.3484	197656.5336
Morphine addiction	2387.2	2295.538793	403.1525
Motor proteins	110.0666667	8.724137931	24.42857143
mRNA surveillance pathway	0.433333333	3.827586207	7.357142857
mTOR signaling pathway	1	0	0.535714286
N-Glycan biosynthesis	30609.04067	15209.27672	19367.04607
Naphthalene degradation	35087.74733	16839.52948	33150.67214
Natural killer cell mediated cytotoxicity	0.6	0	0.321428571
Necroptosis	16787.05667	11202.52155	15196.51
"Neomycin, kanamycin and gentamicin biosynthesis"	63666.49933	25248.32431	44365.00929
Neuroactive ligand-receptor interaction	2443.533333	2297.176724	434.0453571
Neurotrophin signaling pathway	7.133333333	0.456896552	4.964285714
Neutrophil extracellular trap formation	1.844666667	0.206896552	0.131071429
Nicotinate and nicotinamide metabolism	654006.4293	290479.8726	476929.2989
Nicotine addiction	2387.2	2295.538793	403.1525
Nitrogen metabolism	275293.9227	137946.0495	178793.2475
Nitrotoluene degradation	38332.638	9552.307241	22057.13357
NOD-like receptor signaling pathway	77425.002	30295.37397	53966.28071
Non-alcoholic fatty liver disease	17945.994	4480.55069	10099.56536
Non-homologous end-joining	56730.13067	15987.26276	27668.73321
Non-small cell lung cancer	0.6	0	0.321428571
Nonribosomal peptide structures	11734.21733	3718.098793	12596.21286
Notch signaling pathway	106.1	15.23327586	86.87785714
Novobiocin biosynthesis	138948.688	58575.185	87317.655
Nucleocytoplasmic transport	127.6666667	13.15482759	48.98214286
Nucleotide excision repair	396203.9827	165268.0979	316891.8671
O-Antigen nucleotide sugar biosynthesis	326949.6973	155293.4952	229608.0429
Olfactory transduction	6.533333333	0.525862069	4.714285714
One carbon pool by folate	232084.8533	108328.3283	199911.8486
Oocyte meiosis	18.03333333	1.146551724	13.85714286
Other glycan degradation	150199.4373	69986.2681	146312.0071
Other types of O-glycan biosynthesis	0	0	0.285714286
Ovarian steroidogenesis	0.866666667	0	0.428571429
Oxidative phosphorylation	1606439.033	564565.8586	979929.0925
Oxytocin signaling pathway	475.1833333	68.63362069	238.2142857
p53 signaling pathway	17372.92733	4408.634483	9665.0475
Pancreatic cancer	121.5333333	17.6	58.08678571
Pancreatic secretion	456.3733333	46.78017241	1215.232143
Pantothenate and CoA biosynthesis	458199.7347	183189.0338	314354.795
"Parathyroid hormone synthesis, secretion and action"	95.73333333	9.84137931	50.3725
Parkinson disease	110469.912	37492.50741	74345.17571
Pathogenic Escherichia coli infection	17917.92733	4757.324138	10124.0475
Pathways in cancer	33263.672	14286.64276	16323.33071
Pathways of neurodegeneration - multiple diseases	27544.482	6161.941552	15323.46607
Penicillin and cephalosporin biosynthesis	24376.97667	6382.39569	15747.33214
Pentose and glucuronate interconversions	108325.3407	41281.35534	81827.51679
Pentose phosphate pathway	251431.9333	121463.0959	213631.1464
Peptidases and inhibitors	1705275.467	758663.6662	1490125.459
Peptidoglycan biosynthesis	843929.1747	363145.504	752301.6982
Peptidoglycan biosynthesis and degradation proteins	1124787.583	460977.1697	932875.8104
Peroxisome	63296.384	22625.77276	43730.52429
Pertussis	69515.39333	48033.95672	46733.36143
Phagosome	252.2933333	49.62068966	74.75
Phenazine biosynthesis	75026.45133	25079.65862	46248.15786
Phenylalanine metabolism	254490.4253	103473.1741	146728.365
"Phenylalanine, tyrosine and tryptophan biosynthesis"	719387.5927	280288.9397	525766.5389
Phenylpropanoid biosynthesis	11042.67067	3778.396897	6083.138571
Phosphatidylinositol signaling system	345.9953333	101.4156897	431.4
Phospholipase D signaling pathway	247.244	22.39551724	110.9592857
Phosphonate and phosphinate metabolism	32221.67933	20830.90414	20760.1
Phosphotransferase system (PTS)	244053.196	170542.6086	321984.435
Photosynthesis	41782.17333	2162.082414	16635.96893
Photosynthesis - antenna proteins	10561.09333	542.6024138	3980.75
Photosynthesis proteins	68178.97333	8760.913966	31037.93286
Phototransduction	5.533333333	0.379310345	4.535714286
Phototransduction - fly	12.2	0.836206897	9.178571429
PI3K-Akt signaling pathway	257.6226667	38.59775862	174.9582143
"Pinene, camphor and geraniol degradation"	26183.75067	22327.56379	14699.01893
Plant-pathogen interaction	178.6	12.30810345	104.9285714
Platelet activation	4.666666667	0.247241379	1.571428571
Platinum drug resistance	17372.66067	4408.634483	9665.0475
Polycomb repressive complex	0	0	0.285714286
Polycyclic aromatic hydrocarbon degradation	11176.996	6290.158103	6631.094643
Polyketide biosynthesis proteins	16991.88	8098.811897	15993.74357
Polyketide sugar unit biosynthesis	925.486	160.8965517	521.6207143
Porphyrin metabolism	559602.0873	257103.7926	358488.3625
PPAR signaling pathway	9459.98	6172.022931	14571.88
Prenyltransferases	282567.6473	124577.1234	203664.9736
Primary bile acid biosynthesis	12156.292	3955.436897	10663.79
Prion disease	27654.94867	6164.990172	15332.14464
Prodigiosin biosynthesis	25371.632	10532.20121	18195.67679
Prokaryotic defense system	543980.9873	243131.1514	476873.6454
Prolactin signaling pathway	66.06666667	13.65517241	339.9642857
Propanoate metabolism	493101.6573	201693.3976	390435.3625
Prostate cancer	0.6	0.051724138	0.321428571
Proteasome	84854.23933	49447.78276	42207.13893
Protein digestion and absorption	375.7566667	34.08568966	1141.0375
Protein export	609736.1553	264272.6262	457494.7118
Protein kinases	986596.588	413334.9536	651030.8868
Protein phosphatases and associated proteins	496.178	43.59948276	398.1667857
Protein processing in endoplasmic reticulum	271182.6767	87438.65586	169997.7325
Proteoglycans in cancer	3.86	1.870689655	2.928571429
Proximal tubule bicarbonate reclamation	511.446	52.00241379	1599.178571
Purine metabolism	1114389.592	502365.754	847988.5214
Pyrimidine metabolism	763583.662	335543.7866	626014.5882
Pyruvate metabolism	958326.9213	446746.1117	749405.8282
Quorum sensing	1496192.065	592412.1205	1068662.551
Rap1 signaling pathway	16.86666667	1.034482759	13.5
Ras signaling pathway	197.6	20.14827586	105.5664286
Regulation of actin cytoskeleton	13.88866667	4.890862069	11.41071429
Relaxin signaling pathway	4.666666667	0.247241379	1.75
Renal cell carcinoma	0.6	0	0.321428571
Renin-angiotensin system	30393.764	5616.863276	18718.05643
Renin secretion	16.6	1.034482759	13.5
Retinol metabolism	70480.33867	42460.04931	61500.62286
Retrograde endocannabinoid signaling	2697.8	2330.211207	758.7121429
Rheumatoid arthritis	0.186666667	0.172413793	0
Riboflavin metabolism	271396.436	132700.9884	203542.2904
Ribosome	649.3866667	91.5862069	178.8214286
Ribosome biogenesis	1688597.515	726560.1616	1433564.936
Ribosome biogenesis in eukaryotes	2875.971333	1790.682241	1176.225714
RNA degradation	444546.06	194213.0734	349759.3986
RNA polymerase	179009.1267	80046.16328	151192.4175
Salivary secretion	222.6673333	20.3962069	681.9642857
Salmonella infection	164772.9107	63767.92931	112519.6471
Secondary bile acid biosynthesis	48418.31	15514.79207	41872.47929
Secretion system	1489469.099	608820.7529	1080620.138
Selenocompound metabolism	209255.3047	90363.47845	150531.2354
Sesquiterpenoid and triterpenoid biosynthesis	7233.728	1300.153103	3601.458929
Shigellosis	20447.37267	8847.463103	12120.32
Signaling pathways regulating pluripotency of stem cells	52.63333333	8.553793103	11.83928571
Small cell lung cancer	17372.66067	4408.634483	9665.0475
Sphingolipid metabolism	166514.3827	70082.87241	142984.1704
Sphingolipid signaling pathway	804.4653333	363.4375862	441.4060714
Spinocerebellar ataxia	18908.96267	4584.214828	10676.96143
Spliceosome	189.5	16.90758621	382.1071429
Staphylococcus aureus infection	50424.204	28571.20086	85028.7425
Starch and sucrose metabolism	550181.682	248836.1853	526286.9711
Steroid biosynthesis	4085.949333	362.9268966	1982.883929
Steroid degradation	6561.874667	1279.950862	2670.524643
Steroid hormone biosynthesis	2272.89	831.3167241	1392.873929
"Stilbenoid, diarylheptanoid and gingerol biosynthesis"	1128.858667	264.9203448	741.6078571
Streptomycin biosynthesis	128310.5607	46048.77034	93772.72321
Styrene degradation	52136.764	22743.73397	40229.60679
Sulfur metabolism	456649.7927	214214.1931	308471.6432
Sulfur relay system	68609.814	31424.17966	54335.7125
T cell receptor signaling pathway	0.8	0	0.464285714
Taurine and hypotaurine metabolism	176363.8453	83738.37362	132400.4096
Teichoic acid biosynthesis	259236.8273	101557.4921	270758.7321
Terpenoid backbone biosynthesis	524741.8413	223781.6802	409565.8414
Tetracycline biosynthesis	12.66666667	4.465517241	8.392857143
TGF-beta signaling pathway	0.2	0	0.142857143
Thermogenesis	791.4913333	73.68103448	501.8353571
Thiamine metabolism	302177.4267	147587.7219	207334.0143
Thyroid cancer	0	0.051724138	0
Thyroid hormone signaling pathway	10506.50333	3906.167414	4499.547857
Thyroid hormone synthesis	283.6453333	27.58	893.5714286
Tight junction	178.2666667	19.82172414	48.39285714
Toll and Imd signaling pathway	210.94	43.84310345	162.5310714
Toluene degradation	28101.26133	9810.988103	14580.46179
Toxoplasmosis	17374.12733	4409.151724	9665.0475
Transcription factors	1178925.697	597183.0259	900869.2286
Transcription machinery	1229712.857	469112.7255	866350.7025
Transfer RNA biogenesis	1054961.519	422907.0872	825733.2429
Translation factors	320277.418	126067.6595	264171.3464
Transporters	8550467.288	4165441.86	6888224.167
"Tropane, piperidine and pyridine alkaloid biosynthesis"	113089.7233	46143.04069	65361.63679
Tryptophan metabolism	104996.2493	43335.12293	65040.38179
Tuberculosis	230459.7067	88462.24897	176712.2775
Two-component system	2516810.08	1088742.716	1901976.901
Type I polyketide structures	146.2666667	26.80431034	66.0625
Type II diabetes mellitus	426.2966667	62.21931034	333.6410714
Tyrosine metabolism	220577.1093	115155.3136	131886.9329
Ubiquinone and other terpenoid-quinone biosynthesis	338474.4413	165986.8876	223981.0886
Ubiquitin system	77145.18	51970.11724	24268.48571
"Valine, leucine and isoleucine biosynthesis"	218047.2287	90365.38966	163874.0239
"Valine, leucine and isoleucine degradation"	238134.89	102920.3455	162449.4343
Vancomycin resistance	267919.0367	116282.9164	229749.4104
Various types of N-glycan biosynthesis	21045.41267	10296.72897	16736.17214
Vascular smooth muscle contraction	6.6	0.344827586	4.785714286
Vasopressin-regulated water reabsorption	6.533333333	0.189655172	0.75
Vibrio cholerae infection	190	44.60775862	109.4285714
Viral carcinogenesis	0.734	0.103448276	0.393214286
Viral life cycle - HIV-1	16803.72333	11202.18534	15222.65286
Viral myocarditis	17442.72733	4414.462069	9713.101071
Vitamin B6 metabolism	191973.3527	70431.32155	142509.245
Vitamin digestion and absorption	0	0.844827586	0
Wnt signaling pathway	73.73333333	10.54344828	61.34714286
Xylene degradation	86607.00867	44506.15966	94920.75286
Yersinia infection	2246.362	317.0627586	1110.534643
